HS2,HS4,HS6,description,clean_description
,,10121.0,"Horses; live, pure-bred breeding animals",horse live pure breed breeding animal
,,10129.0,"Horses; live, other than pure-bred breeding animals",horse live pure breed breeding animal
,,10130.0,Asses; live,ass live
,,10190.0,Mules and hinnies; live,mule hinny live
,,10221.0,"Cattle; live, pure-bred breeding animals",cattle live pure breed breeding animal
,,10229.0,"Cattle; live, other than pure-bred breeding animals",cattle live pure breed breeding animal
,,10231.0,"Buffalo; live, pure-bred breeding animals",buffalo live pure breed breeding animal
,,10239.0,"Buffalo; live, other than pure-bred breeding animals",buffalo live pure breed breeding animal
,,10290.0,"Bovine animals; live, other than cattle and buffalo",bovine animal live cattle buffalo
,,10310.0,"Swine; live, pure-bred breeding animals",swine live pure breed breeding animal
,,10391.0,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",swine live pure breed breeding animal weigh kg
,,10392.0,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",swine live pure breed breeding animal weigh kg
,,10410.0,Sheep; live,sheep live
,,10420.0,Goats; live,goat live
,,10511.0,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",poultry live fowl specie gallus domesticus weigh g
,,10512.0,"Poultry; live, turkeys, weighing not more than 185g",poultry live turkey weigh g
,,10513.0,"Poultry; live, ducks, weighing not more than 185g",poultry live duck weigh g
,,10514.0,"Poultry; live, geese, weighing not more than 185g",poultry live geese weigh g
,,10515.0,"Poultry; live, guinea fowls, weighing not more than 185g",poultry live guinea fowl weigh g
,,10594.0,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",poultry live fowl specie gallus domesticus weigh g
,,10599.0,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",poultry live duck geese turkey guinea fowl weigh g
,,10611.0,"Mammals; live, primates",mammal live primate
,,10612.0,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",mammal live whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia
,,10613.0,"Mammals; live, camels and other camelids (Camelidae)",mammal live camel camelid camelidae
,,10614.0,"Mammals; live, rabbits and hares",mammal live rabbit hare
,,10619.0,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",mammal live primate whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walruse mammal suborder pinnipedia camel camelid rabbit hare
,,10620.0,Reptiles; live (including snakes and turtles),reptile live include snake turtle
,,10631.0,"Birds; live, birds of prey",bird live bird prey
,,10632.0,"Birds; live, Psittaciformes",bird live psittaciforme
,,10633.0,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",bird live ostrich emus dromaius novaehollandiae
,,10639.0,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",bird live bird prey psittaciforme ostrich emus dromaius novaehollandiae
,,10641.0,"Insects; live, bees",insect live bee
,,10649.0,"Insects; live, other than bees",insect live bee
,,10690.0,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",animal live chapter mammal reptile bird insect
,,20110.0,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",meat bovine animal carcass half carcass fresh chill
,,20120.0,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",meat bovine animal cut bone exclude carcass half carcass fresh chill
,,20130.0,"Meat; of bovine animals, boneless cuts, fresh or chilled",meat bovine animal boneless cut fresh chill
,,20210.0,"Meat; of bovine animals, carcasses and half-carcasses, frozen",meat bovine animal carcass half carcass frozen
,,20220.0,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",meat bovine animal cut bone exclude carcass half carcass frozen
,,20230.0,"Meat; of bovine animals, boneless cuts, frozen",meat bovine animal boneless cut frozen
,,20311.0,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",meat swine carcass half carcass fresh chill
,,20312.0,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",meat swine ham shoulder cut thereof bone fresh chill
,,20319.0,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",meat swine item fresh chill
,,20321.0,"Meat; of swine, carcasses and half-carcasses, frozen",meat swine carcass half carcass frozen
,,20322.0,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",meat swine ham shoulder cut thereof bone frozen
,,20329.0,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",meat swine item frozen
