description,HS6
horses live purebred breeding animals,
horses live purebred breeding animals,
horses live purebred breeding animals,10121.0
horses live other than purebred breeding animals,10129.0
asses live,10130.0
mules and hinnies live,10190.0
cattle live purebred breeding animals,
cattle live purebred breeding animals,10221.0
cattle live other than purebred breeding animals,10229.0
buffalo live purebred breeding animals,10231.0
buffalo live other than purebred breeding animals,10239.0
bovine animals live other than cattle and buffalo,10290.0
swine live purebred breeding animals,
swine live purebred breeding animals,10310.0
swine live other than purebred breeding animals weighing less than 50kg,10391.0
swine live other than purebred breeding animals weighing 50kg or more,10392.0
sheep live,
sheep live,10410.0
goats live,10420.0
poultry live fowls of the species gallus domesticus weighing not more than 185g,
poultry live fowls of the species gallus domesticus weighing not more than 185g,10511.0
poultry live turkeys weighing not more than 185g,10512.0
poultry live ducks weighing not more than 185g,10513.0
poultry live geese weighing not more than 185g,10514.0
poultry live guinea fowls weighing not more than 185g,10515.0
poultry live fowls of the species gallus domesticus weighing more than 185g,10594.0
poultry live ducks geese turkeys and guinea fowls weighing more than 185g,10599.0
mammals live primates,
mammals live primates,10611.0
mammals live whales dolphins and porpoises mammals of the order cetacea manatees and dugongs mammals of the order sirenia seals sea lions and walruses mammals of the suborder pinnipedia,10612.0
mammals live camels and other camelids camelidae,10613.0
mammals live rabbits and hares,10614.0
mammals live other than primates whales dolphins porpoises mammals of the order cetacea manatees dugongs mammals of the order sirenia seals sea lions walruses mammals of the suborder pinnipedia camels other camelids rabbits and hares,10619.0
reptiles live including snakes and turtles,10620.0
birds live birds of prey,10631.0
birds live psittaciformes,10632.0
birds live ostriches emus dromaius novaehollandiae,10633.0
birds live other than birds of prey psittaciformes ostriches and emus dromaius novaehollandiae,10639.0
insects live bees,10641.0
insects live other than bees,10649.0
animals live nec in chapter 01 other than mammals reptiles birds and insects,10690.0
meat of bovine animals carcasses and halfcarcasses fresh or chilled,
meat of bovine animals carcasses and halfcarcasses fresh or chilled,
meat of bovine animals carcasses and halfcarcasses fresh or chilled,20110.0
meat of bovine animals cuts with bone in excluding carcasses and halfcarcasses fresh or chilled,20120.0
meat of bovine animals boneless cuts fresh or chilled,20130.0
meat of bovine animals carcasses and halfcarcasses frozen,
meat of bovine animals carcasses and halfcarcasses frozen,20210.0
meat of bovine animals cuts with bone in excluding carcasses and halfcarcasses frozen,20220.0
meat of bovine animals boneless cuts frozen,20230.0
meat of swine carcasses and halfcarcasses fresh or chilled,
meat of swine carcasses and halfcarcasses fresh or chilled,20311.0
meat of swine hams shoulders and cuts thereof with bone in fresh or chilled,20312.0
meat of swine nec in item no 02031 fresh or chilled,20319.0
meat of swine carcasses and halfcarcasses frozen,20321.0
meat of swine hams shoulders and cuts thereof with bone in frozen,20322.0
meat of swine nec in item no 02032 frozen,20329.0
meat of sheep lamb carcasses and halfcarcasses fresh or chilled,
meat of sheep lamb carcasses and halfcarcasses fresh or chilled,20410.0
meat of sheep carcasses and halfcarcasses excluding carcasses and halfcarcasses of lamb fresh or chilled,20421.0
meat of sheep including lamb cuts with bone in excluding carcasses and halfcarcasses fresh or chilled,20422.0
meat of sheep including lamb boneless cuts fresh or chilled,20423.0
meat of sheep lamb carcasses and halfcarcasses frozen,20430.0
meat of sheep carcasses and halfcarcasses excluding carcasses and halfcarcasses of lamb frozen,20441.0
meat of sheep including lamb cuts with bone in excluding carcasses and halfcarcasses frozen,20442.0
meat of sheep including lamb boneless cuts frozen,20443.0
